Date,Open,High,Low,Close,Adj Close,Volume
2011-04-01,69.083488,69.182571,68.043152,68.365158,59.910488,202700
2011-04-04,69.281647,69.281647,67.968842,68.563324,60.084160,51849
2011-04-05,69.157799,69.355957,68.117462,68.860558,60.344631,381217
2011-04-06,68.786247,69.207336,68.117462,68.513779,60.040737,33151
2011-04-07,68.389931,69.281647,68.241310,68.934868,60.409748,52745
2011-04-08,68.860558,69.232109,68.191772,68.489014,60.019020,53994
2011-04-11,68.117462,74.309959,67.894531,73.269615,64.208443,3129470
2011-04-13,67.869759,74.260414,67.869759,71.387100,62.558720,1005093
2011-04-15,71.337563,71.783417,67.993614,69.133034,60.583412,509590
2011-04-18,69.355957,69.405502,66.928497,67.498215,59.150753,130365
2011-04-19,67.646828,68.167000,66.631264,66.878960,58.608086,106586
2011-04-20,67.473442,69.306419,67.399132,67.671600,59.302727,224471
2011-04-21,67.374359,70.321991,67.374359,69.380730,60.800472,472509
2011-04-25,69.355957,70.049522,68.860558,69.182571,60.626823,76778
2011-04-26,69.380730,69.380730,66.903732,67.374359,59.042221,195458
2011-04-27,67.869759,68.563324,67.622063,68.290848,59.845375,173225
2011-04-28,68.290848,69.752281,67.696373,69.232109,60.670227,259826
2011-04-29,69.306419,71.288017,67.646828,69.677971,61.060966,224126
2011-05-02,71.510948,73.120995,67.250511,67.671600,59.302727,2742022
2011-05-03,67.399132,69.355957,66.878960,68.637627,60.149281,818153
2011-05-04,68.860558,69.256882,67.423904,68.315620,59.867085,177620
2011-05-05,68.835793,68.835793,63.460705,64.600121,56.611065,962055
2011-05-06,64.897362,64.897362,63.014843,63.634094,55.920341,266629
2011-05-09,64.352425,66.086319,63.411163,65.293678,57.378746,1623301
2011-05-10,65.912933,65.912933,64.897362,64.946899,57.073990,136780
2011-05-11,65.392761,66.383560,64.451500,66.185402,58.162365,673155
2011-05-12,66.284485,69.256882,65.467072,66.234940,58.205917,405940
2011-05-13,66.854195,68.067924,66.779884,67.770683,59.555477,124432
2011-05-16,68.340393,68.340393,65.937698,66.284485,58.249447,84919
2011-05-17,65.912933,66.978043,63.658863,64.401962,56.595116,315000
2011-05-18,64.649666,66.829422,64.649666,65.987244,57.988228,545593
2011-05-19,65.937698,67.622063,65.937698,67.324821,59.163670,121285
2011-05-20,67.869759,69.851357,66.978043,68.984413,60.622086,457781
2011-05-23,67.869759,68.464241,67.423904,67.745911,59.533710,46368
2011-05-24,67.869759,69.355957,67.869759,68.885330,60.535023,93264
2011-05-25,69.331192,69.355957,68.117462,69.058723,60.687393,173393
2011-05-26,69.083488,70.346756,68.637627,69.975212,61.492790,138875
2011-05-27,68.885330,70.470612,68.885330,69.975212,61.492790,441106
2011-05-30,69.752281,69.851357,67.869759,68.067924,59.816700,169000
2011-05-31,68.266083,75.498917,68.266083,74.260414,65.258507,1210723
2011-06-01,74.805359,74.805359,70.966011,71.263252,62.624672,349642
2011-06-02,70.842155,71.337563,69.900902,70.297218,61.775757,258421
2011-06-03,69.851357,71.337563,69.653198,69.900902,61.427479,128149
2011-06-06,69.851357,70.569687,68.414703,69.331192,60.926826,161427
2011-06-07,69.355957,69.777046,68.811020,69.331192,60.926826,519772
2011-06-08,69.256882,69.479813,68.811020,69.256882,60.861519,39929
2011-06-09,69.355957,71.288017,67.820221,68.142235,59.881996,449166
2011-06-10,68.761482,69.306419,67.944069,69.033951,60.665634,120448
2011-06-13,69.281647,69.752281,67.968842,69.355957,60.948586,105797
2011-06-14,69.752281,70.297218,68.910103,69.232109,60.839756,167933
2011-06-15,69.355957,73.120995,68.563324,71.610031,62.929432,818282
2011-06-16,70.470612,72.476974,69.950439,70.966011,62.363461,310472
2011-06-17,70.842155,72.278816,70.842155,71.956810,63.234158,235833
2011-06-20,72.798988,72.798988,69.058723,69.752281,61.296883,174667
2011-06-21,70.792618,72.278816,69.900902,70.693542,62.124035,374764
2011-06-22,71.312790,71.312790,68.612862,69.331192,60.926826,1425969
2011-06-23,69.355957,70.495377,68.365158,69.380730,60.970360,189824
2011-06-24,69.702744,71.585258,69.355957,71.461411,62.798832,176334
2011-06-27,69.405502,72.823761,69.405502,72.254051,63.495369,1230515
2011-06-28,69.777046,75.994316,69.777046,74.309959,65.302048,436382
2011-06-29,74.309959,77.728218,74.309959,77.133736,67.783554,944715
2011-06-30,77.777756,79.016258,76.291557,77.059425,67.718231,889671
2011-07-01,77.505287,78.273155,76.687874,77.430977,68.044739,130282
2011-07-04,77.653908,78.025452,76.786957,76.910805,67.587646,91667
2011-07-05,77.084198,77.307129,74.830124,75.523689,66.368645,261374
2011-07-06,75.969543,76.043854,74.409035,74.805359,65.737396,1500559
2011-07-07,74.854897,80.477684,74.359497,79.808891,70.134407,1786745
2011-07-08,79.808891,83.722549,79.808891,81.691414,71.788742,1265709
2011-07-11,81.493256,83.202385,79.387802,82.236351,72.267609,730315
2011-07-12,81.270325,83.227150,80.304291,82.830833,72.790031,428807
2011-07-13,82.236351,83.598701,81.047394,81.443710,71.571045,431092
2011-07-14,80.997856,81.443710,79.288727,79.561195,69.916740,268817
2011-07-15,79.709816,80.725388,77.307129,77.455742,68.066505,310646
2011-07-18,78.273155,78.966713,77.331894,77.530052,68.131821,98060
2011-07-19,77.653908,80.254753,75.300758,79.536423,69.894989,350738
2011-07-20,81.220779,82.236351,78.793327,79.263954,69.655533,400850
2011-07-21,79.164871,81.617104,78.867638,80.229980,70.504478,550474
2011-07-22,80.551994,81.171242,79.214417,79.486885,69.851433,152063
2011-07-25,81.691414,81.691414,79.561195,80.329063,70.591537,809978
2011-07-26,80.551994,80.750153,76.910805,77.257584,67.892372,481808
2011-07-27,77.728218,85.679382,76.365868,82.682213,72.659447,3508393
2011-07-28,81.740952,83.573929,79.288727,80.551994,70.787437,886655
2011-07-29,80.874001,84.168411,77.876839,83.227150,73.138306,768680
2011-08-01,84.193184,86.026161,80.874001,81.245552,71.396927,178805
2011-08-02,81.146477,82.954681,79.808891,80.031822,70.330338,220690
2011-08-03,80.007057,81.121704,78.842865,79.115334,69.524933,127408
2011-08-04,79.437347,81.369400,78.347466,78.768555,69.220184,88149
2011-08-05,76.489716,78.074997,75.003517,77.158508,67.805290,223034
2011-08-08,74.483345,76.786957,73.913635,76.489716,67.217567,275042
2011-08-09,74.161339,81.914345,73.343925,80.551994,70.787437,939084
2011-08-10,80.774925,82.211586,78.471313,80.576767,70.809196,620745
2011-08-11,80.576767,80.725388,78.719017,79.239182,69.633774,412648
2011-08-12,79.263954,79.932747,78.025452,78.570396,69.046059,238799
